year,personID,name,gender,HL.50K,T.MTN,PL.50K,GS.100,MMTR,Hellgate,Total.Beast.Time
2009,P2057,Horacio Ruiz,M,5:52:43,6:04:01,6:23:24,26:47:16,9:13:06,15:18:44,69:39:14
2009,P2061,Jack Kurisky,M,7:30:01,4:55:23,5:54:36,29:37:28,8:37:01,14:58:19,71:32:48
2009,P2063,Jaime Azuaje,M,6:34:40,8:54:13,8:37:36,36:35:43,10:24:00,16:38:03,87:44:15
2009,P2069,Jared Hesse,M,4:43:58,5:42:10,5:59:07,24:35:47,9:45:25,16:28:39,67:15:06
2009,P2071,Jarett Tighe,M,5:08:28,5:41:10,6:16:19,26:49:30,10:15:23,15:07:20,69:18:10
2009,P2110,John Cooper,M,5:46:38,6:38:33,7:22:19,32:38:46,11:06:27,17:30:03,81:02:46
2009,P213,Kevin Townsend,M,4:53:20,5:56:15,6:40:48,29:09:22,9:29:19,15:31:20,71:40:24
2009,P194,Marc Griffin,M,5:04:24,5:50:43,6:52:20,30:53:01,9:33:50,15:14:22,73:28:40
2009,P186,Mark Mckennett,M,6:30:25,6:57:13,8:20:38,37:52:11,11:34:06,17:42:03,88:56:36
2009,P161,Michael Stratton,M,4:43:18,5:39:00,6:31:05,27:08:10,10:51:10,16:59:00,71:51:43
2009,P129,Richard Michael,M,5:29:34,6:07:39,6:55:37,29:58:27,11:19:20,17:41:03,77:31:40
2009,P127,Rick Gray,M,4:59:05,5:47:11,7:25:01,36:04:26,10:25:40,17:04:37,81:46:00
2009,P124,Robert Dolan,M,5:51:54,6:25:10,7:13:55,32:57:56,11:12:50,17:05:59,80:47:44
2009,P92,Scott Taylor,M,5:22:42,6:15:10,7:07:26,31:55:23,10:58:57,16:38:03,78:17:41
2009,P87,Shawn Krause,M,5:27:22,6:18:26,7:41:53,29:55:27,11:15:53,16:55:25,77:34:26
2009,P49,Will Jorgensen,M,5:20:48,6:21:20,7:30:34,29:52:39,10:08:11,16:03:58,75:17:30
2008,P1037,Bill Vickery,M,4:59:42,5:19:19,6:13:30,32:14:55,10:25:33,16:40:05,75:53:04
2008,P1063,Bryan Banning,M,4:49:58,5:16:37,6:35:59,34:41:53,10:24:11,15:46:10,77:34:48
2008,P25,David Snipes,M,5:55:24,5:50:42,7:12:48,27:36:10,10:35:46,16:34:29,73:45:19
2008,P2016,Don Padfield,M,4:31:10,4:43:28,5:42:56,21:31:11,8:13:44,12:22:49,57:05:18
2008,P2025,Ed Duval,M,5:23:52,5:41:03,6:41:42,27:57:49,10:40:23,16:20:36,72:45:25
2008,P2047,Harland Peelle,M,4:28:24,4:36:52,5:22:19,20:38:51,7:59:33,12:21:02,55:27:01
2008,P2061,Jack Kurisky,M,4:31:12,4:50:28,6:04:33,24:27:20,8:58:38,13:34:27,62:26:38
